time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,375,42,1531,376
2023-03-05 00:00:00+00:00,247,28,1501,463
2023-03-06 00:00:00+00:00,374,44,1820,470
2023-03-07 00:00:00+00:00,61,15,1721,441
2023-03-08 00:00:00+00:00,227,23,1261,377
2023-03-09 00:00:00+00:00,61,15,1107,343
2023-03-10 00:00:00+00:00,67,15,1413,350
2023-03-11 00:00:00+00:00,200,27,1514,389
2023-03-12 00:00:00+00:00,154,31,1381,377
2023-03-13 00:00:00+00:00,178,82,1477,395
2023-03-14 00:00:00+00:00,415,114,1544,353
2023-03-15 00:00:00+00:00,343,89,1390,332
2023-03-16 00:00:00+00:00,183,70,1316,530
2023-03-17 00:00:00+00:00,156,53,997,318
