time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-12 00:00:00+00:00,154,31,1381,377
2023-03-13 00:00:00+00:00,178,82,1477,395
2023-03-14 00:00:00+00:00,415,114,1544,353
2023-03-15 00:00:00+00:00,343,89,1390,332
2023-03-16 00:00:00+00:00,183,70,1316,530
2023-03-17 00:00:00+00:00,180,57,1077,340
2023-03-18 00:00:00+00:00,315,81,1136,322
2023-03-19 00:00:00+00:00,462,83,1123,340
2023-03-20 00:00:00+00:00,430,114,2068,486
2023-03-21 00:00:00+00:00,349,117,2858,583
2023-03-22 00:00:00+00:00,559,129,2416,496
2023-03-23 00:00:00+00:00,600,144,2421,485
2023-03-24 00:00:00+00:00,877,140,1641,399
2023-03-25 00:00:00+00:00,488,118,1377,411
